col0,country,country_code,geo_id_final,region,subnational_cases_7,subnational_cases_14,subnational_population,subnational_rate_14,national_cases_7,national_population,national_testing_rate,national_positivity_rate,subnational_testing_data,positivity_rate_combined,testing_rate_combined,colour,week
,Italy,IT,ITC4,Lombardia,12394,26124,10060574,259.667092553566,82088,59641488,3334.60660807121,4.12749540051357,TRUE,4.07596809997534,3022.44186067316,Red,2021-17
,Italy,IT,ITF1,Abruzzo,1025,2160,1311580,164.686866222419,82088,59641488,3334.60660807121,4.12749540051357,TRUE,2.39390896139384,3264.53590326172,Red,2021-17
,Italy,IT,ITF2,Molise,190,424,305617,138.735737867985,82088,59641488,3334.60660807121,4.12749540051357,TRUE,4.29087624209575,1448.87228131943,Red,2021-17
,Italy,IT,ITF3,Campania,11643,24304,5801692,418.912275936054,82088,59641488,3334.60660807121,4.12749540051357,TRUE,7.0823321877186,2833.56993097876,Red,2021-17
,Italy,IT,ITF4,Puglia,7458,16301,4029053,404.586387917955,82088,59641488,3334.60660807121,4.12749540051357,TRUE,9.76050255202199,1896.47542487031,Red,2021-17
,Italy,IT,ITF5,Basilicata,920,2004,562869,356.033108947197,82088,59641488,3334.60660807121,4.12749540051357,TRUE,8.55177542294107,1911.27953395906,Red,2021-17
,Italy,IT,ITF6,Calabria,2634,5780,1947131,296.847002076388,82088,59641488,3334.60660807121,4.12749540051357,TRUE,10.4131251235422,1299.09081618032,Red,2021-17
,Italy,IT,ITG1,Sicilia,6348,14351,4999891,287.026257172406,82088,59641488,3334.60660807121,4.12749540051357,TRUE,3.72471821110257,3408.65430866393,Red,2021-17
,Italy,IT,ITG2,Sardegna,1286,3134,1639591,191.145230731323,82088,59641488,3334.60660807121,4.12749540051357,TRUE,5.30725104205357,1477.86856600213,Red,2021-17
,Italy,IT,ITH1,Provincia Autonoma di Bolzano/Bozen,477,955,531178,179.789072589603,82088,59641488,3334.60660807121,4.12749540051357,TRUE,0.837856352426622,10717.8761168573,Red,2021-17
,Italy,IT,ITH2,Provincia Autonoma di Trento,482,1069,541098,197.561255077638,82088,59641488,3334.60660807121,4.12749540051357,TRUE,3.32803977076573,2676.59462796019,Red,2021-17
,Italy,IT,ITH3,Veneto,5141,11559,4905854,235.616469629956,82088,59641488,3334.60660807121,4.12749540051357,TRUE,2.33960443801254,4479.09782883877,Red,2021-17
,Italy,IT,ITH4,Friuli-Venezia Giulia,917,2279,1215220,187.538058952288,82088,59641488,3334.60660807121,4.12749540051357,TRUE,1.90898492797069,3952.86450190089,Red,2021-17
,Italy,IT,ITH5,Emilia-Romagna,6061,12570,4459477,281.871618577694,82088,59641488,3334.60660807121,4.12749540051357,TRUE,3.36896285302962,4034.26231371975,Red,2021-17
,Italy,IT,ITI1,Toscana,5486,11688,3729641,313.381368340814,82088,59641488,3334.60660807121,4.12749540051357,TRUE,3.4086178508186,4315.29468922076,Red,2021-17
,Italy,IT,ITI2,Umbria,698,1418,882015,160.768240902933,82088,59641488,3334.60660807121,4.12749540051357,TRUE,1.60862851743449,4919.53084698106,Red,2021-17
,Italy,IT,ITI3,Marche,1612,3518,1525271,230.647537388438,82088,59641488,3334.60660807121,4.12749540051357,TRUE,6.04062055010118,1749.59072846727,Red,2021-17
,Italy,IT,ITI4,Lazio,7008,15042,5879082,255.856271438296,82088,59641488,3334.60660807121,4.12749540051357,TRUE,3.06320482559664,3891.42386515446,Red,2021-17
,Latvia,LV,LV00,Latvija,4406,8404,1919968,437.71562859381,4434,1907675,4865.60865975599,4.77698771816419,FALSE,4.77698771816419,4865.60865975599,Red,2021-17
,Liechtenstein,LI,LI0,Liechtenstein,45,112,38378,291.833863150764,,,,,FALSE,,,Grey - no data,2021-17
,Lithuania,LT,LT01,Sostinės regionas,3205,7076,810538,873.000402201994,8465,2794090,4989.38831605281,6.07210490072306,TRUE,5.88862145626252,6714.92268098473,Dark red,2021-17
,Lithuania,LT,LT02,Vidurio ir vakarų Lietuvos regionas,2986,6340,1983646,319.613479421227,8465,2794090,4989.38831605281,6.07210490072306,TRUE,3.51372659771008,4284.08092976267,Red,2021-17
,Luxembourg,LU,LU0,Luxembourg,1121,2351,613894,382.965137303834,1195,626108,8140.28889584545,2.34465438420939,FALSE,2.34465438420939,8140.28889584545,Red,2021-17
,Malta,MT,MT0,Malta,120,328,493559,66.4560873168152,165,514564,1994.89276358237,1.60740379931807,FALSE,1.60740379931807,1994.89276358237,Orange,2021-17
,Netherlands,NL,NL11,Groningen,1027,2254,583990,385.965513108101,49391,17407585,2672.23741834379,10.6177929884,FALSE,10.6177929884,2672.23741834379,Red,2021-17
,Netherlands,NL,NL12,Friesland (NL),1187,2640,647672,407.613730406749,49391,17407585,2672.23741834379,10.6177929884,FALSE,10.6177929884,2672.23741834379,Red,2021-17
,Netherlands,NL,NL13,Drenthe,890,1756,492167,356.789463738934,49391,17407585,2672.23741834379,10.6177929884,FALSE,10.6177929884,2672.23741834379,Red,2021-17
,Netherlands,NL,NL21,Overijssel,2983,6192,1156431,535.44050617806,49391,17407585,2672.23741834379,10.6177929884,FALSE,10.6177929884,2672.23741834379,Dark red,2021-17
,Netherlands,NL,NL22,Gelderland,6017,12634,2071972,609.757274712207,49391,17407585,2672.23741834379,10.6177929884,FALSE,10.6177929884,2672.23741834379,Dark red,2021-17
